Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
61.247.202.89,2021-08-03,839335,5892,179,276,515,617,737,3568
62.0.192.20,2021-08-07,839335,6965,505,262,517,624,667,4390
62.2.14.102,2021-08-05,839335,10407,264,618,1119,1067,1275,6064
62.2.17.60,2021-08-04,839335,3089,623,292,335,303,331,1205
62.2.17.61,2021-08-06,839335,3060,648,240,315,325,329,1203
62.2.24.158,2021-08-03,839335,3058,628,253,293,312,328,1244
62.2.24.162,2021-08-06,839335,3021,638,256,297,334,321,1175
62.3.32.16,2021-08-04,839335,64150,2447,7307,14382,12070,7987,19957
62.3.32.17,2021-08-06,839335,150485,5926,18999,36037,28993,16924,43606
62.4.16.70,2021-08-04,839335,2336,134,178,281,278,306,1159
62.4.17.69,2021-08-05,839335,2303,104,168,294,287,254,1196
62.6.40.162,2021-08-06,839335,43371,2951,4388,9304,7973,4032,14723
62.6.40.178,2021-08-05,839335,42266,3307,4232,8803,7827,3955,14142
62.8.96.38,2021-08-07,839335,191681,3516,13650,41081,41053,32361,60020
62.12.130.66,2021-08-06,839335,16628,614,767,1649,1995,2055,9548
62.24.128.17,2021-08-06,839335,6472,1676,339,1194,1136,596,1531
62.24.128.18,2021-08-04,839335,6640,1769,337,1226,1225,621,1462
62.24.199.13,2021-08-06,839335,6653,1805,320,1236,1222,561,1509
62.24.199.23,2021-08-06,839335,2371,167,188,285,273,310,1148
62.31.64.39,2021-08-05,839335,2310,117,180,292,264,264,1193
62.31.112.39,2021-08-06,839335,2341,117,173,300,275,295,1181
62.31.144.39,2021-08-06,839335,2241,129,148,273,285,287,1119
62.31.176.39,2021-08-05,839335,2326,113,168,272,305,294,1174
62.32.46.100,2021-08-05,839335,49752,345,2032,5092,8555,8935,24793
62.33.189.250,2021-08-06,839335,3540,122,208,412,371,409,2018
62.37.236.200,2021-08-07,839335,17342,1497,1061,1034,1196,1524,11030
62.37.237.140,2021-08-06,839335,2756,371,283,330,277,282,1213
62.39.164.12,2021-08-03,839335,9424,193,406,1064,761,891,6109
62.40.32.33,2021-08-07,839335,164797,1475,1998,7451,33662,58896,61315
62.40.32.34,2021-08-07,839335,154175,1360,1818,6872,29866,54543,59716
62.41.26.253,2021-08-06,839335,2315,97,176,272,289,315,1166
62.42.230.24,2021-08-06,839335,3038,744,261,313,294,281,1145
62.42.230.135,2021-08-06,839335,2389,99,177,288,308,305,1212
